1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.02
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.01	 0.01
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.03
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.02	 0.02
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
1.03	 0.03
